node_id,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27
10,5.87253,6.962436,6.235181,2.988545,5.298387,-0.999063,-0.313666,6.995931,7.665841,6.14787,-2.81175,2.449011,-0.484005,-0.315304,-0.953855,2.672882,2.930876,0.292897,-1.734119,2.36771,3.424192,-2.035765,2.741417,-2.675942,-0.959281,3.742719,-1.588403,-1.723732
11,0.333592,1.281433,2.437373,2.578905,6.368122,2.370156,2.560823,3.211331,4.126257,5.853176,-2.115077,-0.714098,-0.259952,-2.302084,-1.810942,-2.84422,1.122887,3.510259,-1.358248,-1.515079,-0.454559,1.56864,3.425029,1.713693,-0.14287,6.860871,2.260974,-2.018164
12,4.067942,4.998185,4.637565,5.067955,6.562539,-1.151946,1.855833,7.662908,8.003236,6.51156,-1.849748,0.508413,-0.02104,-2.274135,-2.755991,1.571329,3.596397,1.925358,-1.221231,1.558292,3.50475,-0.225501,4.060606,-0.841023,-0.657555,6.386409,-0.475884,-2.903026
13,3.950661,2.066492,3.570043,2.191155,3.547293,5.787362,3.698774,2.862596,3.598403,3.445283,-1.55163,-1.776353,-0.728072,-1.18671,0.701401,-0.609223,-1.476711,0.617281,0.319438,-0.864253,-1.802146,-0.692755,-0.624318,1.044452,-1.040825,0.595897,0.312471,0.423922
14,10.764178,9.047837,3.721237,-0.079633,6.770505,4.641516,0.571657,6.879666,6.946222,2.093009,1.758676,2.470571,-0.098166,0.055791,0.214782,5.404559,3.489326,-2.181903,-0.05066,3.031879,-0.650849,-3.375557,-2.307733,-3.920304,-2.091521,-3.28743,-0.678047,-0.281484
15,8.321988,5.509036,2.983145,-0.855341,5.143518,4.352327,0.865145,4.477525,4.630347,2.982076,-0.374181,0.234856,-1.254483,-1.690602,0.781531,1.338799,2.570288,1.01328,-1.300236,0.565981,-2.503593,-0.965353,-0.441193,-0.741308,-2.046728,1.032878,0.976839,-0.232448
16,1.955593,1.037505,3.719427,5.711189,1.374678,6.121275,8.027318,2.735912,0.785566,2.95169,0.804555,-2.303146,0.339555,0.292257,0.317891,-3.145159,-4.188767,-1.648194,1.321175,-2.389399,-2.183873,2.263792,-1.780709,2.198595,1.204871,-2.439172,0.130661,1.793076
17,-0.914253,1.311885,-1.207325,-0.630711,0.986876,1.222989,-0.436207,0.005554,-0.710144,-1.617546,2.541226,1.148711,1.055825,0.597874,-1.63527,-0.066495,1.271299,0.974808,0.564377,0.110455,-0.755299,0.217437,0.247471,0.325907,0.513359,-1.201334,1.806343,-1.155919
18,2.209982,5.939956,5.377903,7.849611,4.635958,0.679069,6.73459,5.652032,4.3488,3.200126,0.458123,1.055213,2.666416,1.435445,-2.288104,-1.281596,0.822294,0.33001,1.100924,0.010874,3.044718,1.340512,2.033421,0.259469,1.75056,0.632155,0.70523,-1.524498
19,3.338483,3.901751,4.43327,6.086843,2.472169,2.874717,5.191483,3.376613,4.270745,3.018595,-0.659022,-1.677414,-0.591688,0.011658,1.034843,0.053842,-0.870688,-1.552307,0.39185,0.082837,-0.384915,-0.335247,-1.280131,-0.253113,0.057356,-1.791553,-1.505349,0.832378
20,6.956559,2.767349,3.060538,0.750307,1.885637,7.145974,1.732382,2.50851,2.928205,3.782407,-0.288453,-2.481731,-2.360405,-1.657911,2.703466,0.528064,-0.667312,-0.666113,-1.263036,-0.192033,-3.444176,-0.721066,-2.571547,0.472862,-2.472701,-0.773748,0.028848,1.32639
21,3.062241,2.239589,4.225566,1.887291,5.878245,4.08123,2.196323,4.255021,3.38304,5.605918,-1.183298,0.331946,-0.43189,-1.532329,-1.030791,-1.000018,1.280648,2.057561,-1.204147,0.281775,-0.494056,-0.009577,1.82074,0.999946,-2.225836,4.845534,1.60455,-1.346874
22,1.919945,0.029607,3.810419,6.435362,2.430806,3.893912,6.889287,2.880406,1.976932,5.55598,-1.30933,-3.125473,-0.621737,-0.751052,0.092803,-2.519123,-3.452107,-0.546487,-0.082653,-1.534416,-1.043466,1.634241,-0.30844,1.847891,1.122936,0.522837,-1.372373,1.048461
23,3.774745,5.38733,5.524694,8.399925,2.114701,1.716929,7.895044,5.796538,5.058485,3.140811,0.174196,-1.106204,-0.137246,1.442663,1.515507,0.480687,-2.643097,-2.384242,0.63898,-0.363796,2.106964,-0.067391,-1.421895,-0.985765,1.941094,-3.394846,-3.139393,1.670344
24,-1.214035,0.589958,0.854156,1.220658,0.659046,-1.443274,1.241719,1.012938,0.54871,0.563531,0.182572,1.588451,0.414919,0.600264,-1.161145,-0.082536,0.568859,0.12548,0.795475,0.692244,1.716564,0.307208,1.839893,-0.477418,1.351601,1.1283,0.577314,-0.450678
25,4.779351,-1.206724,-0.409134,-3.094632,-2.156509,1.961822,-2.243816,-1.570107,0.319574,0.281659,-1.231523,-1.272106,-3.318216,-1.293694,3.694148,2.203813,-1.244146,-2.493817,-0.773682,0.320839,-2.357139,-2.185947,-3.268773,-1.706871,-2.126115,-3.014283,-2.172507,2.977933
26,4.607976,4.035411,2.408222,3.342719,5.064549,4.16573,3.645363,4.640332,4.601716,2.732363,0.559974,-0.659078,-0.025837,-1.725563,-1.957847,-0.703921,1.211143,0.741695,0.563995,-0.140103,-0.626039,0.331485,1.348661,0.018413,-0.410436,1.859038,0.843584,-1.22495
27,2.737064,3.575593,4.384949,5.294343,3.367617,3.227561,4.6288,3.782263,3.686792,3.710275,-0.412505,0.522829,-0.671511,0.965237,0.644087,0.084273,-0.948947,-0.313072,-0.397741,-0.172637,0.921835,-0.175174,-0.122307,-0.797572,0.59902,-0.93251,-0.207625,0.994996
28,7.183657,7.12631,4.701112,2.525237,4.612861,4.323734,2.404705,5.781244,5.600188,2.697089,1.263339,0.235748,-0.019095,0.676868,-0.18794,2.169956,2.160449,-0.140634,0.079739,1.695234,0.544233,-1.535239,-0.03868,-0.865327,-0.137818,-0.952745,-1.157102,0.246238
29,5.282842,2.836703,2.827532,4.047731,3.054236,4.504016,3.089434,2.733134,3.993534,3.763571,-0.205707,-2.33577,-1.263825,-0.837593,0.748252,-0.072396,-1.480883,-1.567531,-0.029466,-0.081823,-0.632265,0.78717,-1.059979,0.722314,-0.046786,-0.880118,-1.44975,1.051812
30,3.340889,2.252603,3.674626,0.32809,4.31544,6.438747,3.903559,2.916649,1.64934,4.853707,-0.222569,0.73561,-0.396801,-0.615145,0.838148,-1.500923,0.454421,1.584964,-1.004435,-0.944447,-1.796635,-0.076916,-0.638313,0.927711,-1.470581,0.330937,2.631859,-0.246794
31,2.782625,7.303266,5.558036,4.798718,5.617792,0.239949,3.29718,5.347464,3.739964,4.348453,0.624041,1.736434,1.491928,0.617216,-2.331744,1.08903,2.41212,1.005774,0.21839,1.372982,2.525572,-0.315871,2.761564,-0.950137,1.171596,2.296134,0.26309,-1.631926
32,-2.591752,-1.090656,1.535123,-0.236722,1.219929,-1.318737,-0.12062,-0.053152,0.233828,0.95535,-0.135662,2.724319,0.777483,0.538379,-0.568211,0.323207,1.88873,2.098935,-1.6446,0.193051,1.327778,-0.214643,1.889174,-0.410387,-0.283742,2.000597,1.743332,-1.280077
33,-3.232215,0.584334,-1.965659,0.777524,2.187204,-0.054765,-0.374863,0.164077,-1.036008,-0.436833,1.413591,-0.546116,2.087169,-0.534405,-3.343788,-2.263985,1.510342,3.658306,1.135925,0.000505,-0.006077,1.824848,1.929423,2.265615,0.448394,2.472067,2.161839,-1.922208
34,-1.330953,-2.148912,1.446988,-0.14337,-0.276122,-0.552049,0.970859,-0.403391,0.120706,1.264789,-1.102121,0.347811,-0.369812,0.196255,1.132528,-0.55168,-0.820762,0.284127,-0.589959,-0.758041,0.980311,-0.099831,0.217408,-0.370508,0.272262,0.778695,-0.124241,0.687882
35,5.717706,3.051476,3.4857,0.618861,3.464192,4.742466,3.258083,2.901696,3.917872,4.302236,-0.869476,1.677191,-1.147987,-0.257601,2.397661,1.288049,0.631018,0.580664,-0.761614,-0.03029,-0.424947,-1.143562,-0.561291,-1.296635,-2.036992,-0.870971,0.579722,0.300033
36,0.888545,4.307802,4.211385,4.121753,6.198607,3.350596,4.432986,4.529785,4.395123,4.317364,-0.590525,3.104316,1.433988,1.031624,-1.236874,0.3087,2.267233,2.691917,-1.085678,-0.001309,1.354444,0.358308,2.444645,0.333455,0.006654,1.901867,2.409419,-1.700869
37,1.961172,2.610138,1.206998,0.10861,0.249942,-0.243824,-0.131545,1.231377,1.170262,-0.710237,0.731884,0.808476,0.786689,0.690827,0.935965,1.845947,0.242615,-0.91049,0.54539,0.91978,0.575525,-1.331188,-0.275979,-1.008131,-0.054276,-2.179914,-0.438793,0.531475
38,-1.748516,2.538151,4.513267,10.408635,2.945551,2.912868,10.473591,3.182584,1.706799,3.611398,1.686778,-0.886892,2.787406,2.123377,-1.606894,-3.500869,-2.39477,0.5298,1.519672,-1.896835,1.957266,2.339886,0.768856,2.160864,3.968076,-1.384627,0.423893,-0.45969
39,3.575712,5.020754,5.987536,6.538101,4.46539,-1.158919,3.379791,5.693248,6.49171,4.901235,-1.498062,0.455352,0.265428,0.419966,-0.911404,2.066173,0.702485,-0.593225,-0.28988,0.766411,2.748958,-0.422756,1.423053,-1.442797,0.75603,2.158192,-1.474581,-0.528175
40,3.581788,-0.280394,-0.386789,-4.175012,1.396766,-0.038651,-5.295696,-0.140149,1.247496,1.457416,-1.472924,0.602769,-1.935582,-1.957192,1.409914,2.672314,1.254866,-0.164314,-1.320349,1.371555,-1.397869,-1.511595,-0.291418,-1.554507,-2.297695,1.609632,-0.615007,-0.513649
41,6.71883,5.476407,5.06822,3.103577,4.62085,2.089877,2.382899,5.912558,6.009252,4.929968,-1.14586,1.354594,-0.036035,0.412267,0.649583,1.898329,1.744158,-0.979086,-1.217629,1.547585,2.238407,-1.760555,0.802437,-2.403351,-1.147608,0.803953,-1.011876,-0.556229
42,-2.71494,-0.848925,1.493818,0.849796,1.657492,-0.952231,0.798095,-0.246692,0.148002,0.688486,-1.01524,2.609217,1.811282,1.097009,-1.266245,-0.984763,0.680304,1.322464,-1.161536,-0.240089,1.296334,0.594472,1.868443,0.547436,0.622666,1.613894,1.254776,-1.163646
43,4.364567,4.380148,2.570297,4.542535,4.44107,2.663695,2.978618,3.955392,4.928995,4.065427,-0.592252,-1.685734,-0.737272,-1.661266,-1.529174,0.214474,1.111712,0.191785,0.116878,0.404297,-0.620484,0.735546,0.890173,1.281553,-0.628875,2.429039,-0.88201,-1.131
44,-0.069186,0.802663,-0.090579,0.480921,-0.554233,0.527429,1.384415,-0.141798,-0.30896,-0.78162,0.939286,-0.821346,0.99015,-0.350089,0.152173,-0.335857,-1.027757,-0.760657,0.793833,-0.155501,-1.201524,0.451962,-0.698021,0.37665,1.691606,-0.98785,-0.381394,0.175847
45,3.690413,0.163918,3.73915,6.039766,0.896617,5.055996,5.88839,1.277629,1.911535,5.639021,-1.016729,-3.10815,-1.835105,0.217427,2.714408,-1.364119,-3.417221,-1.812313,0.451512,-1.848727,-1.577667,0.493507,-2.761429,1.534739,-0.219749,-1.696181,-1.707051,2.70412
46,1.28643,-0.8331,-3.243205,-1.336059,-0.290306,1.768693,-1.113148,-0.752695,-1.023367,-0.649579,0.198798,-3.957895,-0.875442,-1.957917,-1.020673,-1.135095,-1.115142,0.297921,1.272995,-0.552683,-3.700053,1.03689,-0.272152,2.246245,-0.994495,0.560851,-0.073751,0.819096
47,-2.516573,-2.777153,0.328982,5.153789,-2.472254,-1.795724,2.724817,-0.538501,0.016604,0.741298,-0.607216,-3.012716,-0.892999,-0.903253,-0.876218,-2.157879,-3.068095,-0.968368,0.432549,-1.753073,0.462771,1.866971,0.150434,1.317022,1.642134,0.971729,-2.842207,0.744731
48,4.32522,5.315804,5.993801,5.864505,2.092259,3.464611,6.649099,4.760003,3.224233,3.044159,1.329937,0.137185,1.218954,1.65794,-0.512138,0.054188,-1.536061,-1.766252,1.191747,-0.013405,2.098248,0.330587,-1.162226,-0.729976,2.414842,-3.867929,-1.669517,0.683863
49,8.025164,2.513664,1.728671,-0.583004,2.537318,8.152425,-0.214471,2.188284,3.707134,3.778046,0.090373,-3.832442,-3.004749,-2.224756,1.604678,-0.256046,-0.7089,-1.138417,0.428633,-1.437242,-5.334685,-0.580411,-3.070863,1.507381,-1.788385,-1.014946,-0.489432,2.197768
50,3.537019,3.02133,4.519793,3.607065,2.891478,4.110976,5.236567,3.897188,4.126455,3.239342,0.10612,0.612776,-1.067314,0.516802,0.694964,0.252405,-0.326161,-0.261418,-0.326253,0.265902,-0.090084,-0.315833,-0.666721,-1.086333,-0.019167,-1.331803,-0.500617,0.674671
51,-1.370168,1.160423,-1.925192,1.332386,-0.456399,2.847076,2.701844,-0.301118,-2.652847,-2.217249,3.274578,-0.727868,2.047366,0.697274,-1.028177,-2.613559,-1.601025,-0.21587,2.317178,-0.460335,-1.344504,1.315755,-0.704211,1.336996,1.59352,-4.431779,1.963914,0.329272
52,1.53023,7.585916,6.232393,4.120127,6.343859,3.05786,4.739931,5.535083,4.695031,3.392618,0.504375,4.886921,2.405685,2.580149,-1.29643,0.701648,2.712857,1.538939,-1.084704,1.068417,3.409323,0.346846,1.653178,-1.921117,0.960903,0.308538,1.772073,-2.39128
53,4.580777,4.359149,6.235903,4.336122,4.790804,1.776105,3.942537,4.953009,5.073875,5.308931,-1.087967,2.266582,-0.049811,0.220421,0.557334,1.7477,0.630829,-0.446037,-0.939334,0.981278,1.964907,-0.512396,0.454431,-1.693991,-0.241397,0.656286,-0.816425,-0.864443
54,2.118846,0.000844,1.33522,2.223289,-0.167036,-3.38706,-1.284376,1.241563,1.908973,1.660571,-2.499181,-1.683905,-1.464845,-1.465597,1.16945,1.341601,-0.630336,-1.713743,-0.332722,0.694413,1.475437,-0.630612,0.150381,-0.643132,-0.309674,1.704357,-3.135133,0.138771
55,7.357312,5.218176,2.84817,5.001869,0.650606,7.959458,4.98428,3.905687,2.903363,1.241732,3.13638,-4.044784,-0.832187,0.017519,0.235022,0.391859,-2.933016,-4.075836,2.818567,-0.740231,-3.6224,0.017129,-4.027506,1.838763,1.141495,-6.434498,-1.955743,2.342984
56,2.58436,3.290272,-2.222332,-3.610435,2.376059,1.721107,-3.135431,2.14298,0.530862,-1.48708,2.906318,0.970949,1.664056,-0.110319,-2.548204,1.553459,3.842121,1.568731,1.040037,2.10312,-0.910101,-0.505206,0.265973,0.292195,-1.162639,-0.267596,2.088359,-1.358812
57,1.067303,1.409861,1.487698,-0.477469,1.161824,-1.339204,-0.510717,0.915404,1.237029,0.020417,-0.533203,2.569511,0.353841,1.601382,0.712856,1.696272,1.731389,0.038708,-1.200173,0.99621,2.39535,-1.175748,0.542001,-2.282162,0.070316,-0.509876,-0.326964,-0.00455
58,4.082879,1.978569,3.966243,3.053563,3.78505,3.147616,4.610358,4.640093,5.157493,5.076154,-2.864815,0.437663,-1.128127,-0.031071,1.632898,0.344574,0.001083,0.784321,-1.689316,0.185674,0.818188,-0.569531,0.211595,-0.736498,-1.49778,1.220535,-0.289924,0.493572
59,-1.46628,-0.579182,1.456066,1.019205,-0.329976,-1.056541,1.033809,-0.343642,0.196401,0.352877,-0.75156,1.066172,0.484317,1.659543,0.809608,0.238118,-0.928411,0.018794,-0.102264,-0.058448,1.308037,-0.212593,-0.177423,-0.500963,0.519158,-1.624135,-0.528332,0.085767
60,1.97173,4.411706,4.200571,2.94105,4.230083,4.356136,6.356639,5.120569,3.644656,3.23142,1.573489,2.244674,1.185974,1.565398,-0.790992,-0.514998,0.249936,1.526079,-0.105035,0.148108,0.903371,0.134643,-0.465469,0.098082,1.100414,-0.484335,2.529021,-1.12282
61,1.827714,3.431423,2.239758,3.094094,4.708792,4.200778,2.186577,4.422794,5.469466,4.741685,-1.204931,-0.844521,-0.661624,-1.62493,-1.740979,-1.230148,1.663649,2.13901,0.582196,-0.752575,-0.535107,0.503508,2.387536,1.307113,-1.20868,4.07638,1.034297,-0.67175
62,1.10321,1.390763,4.038584,6.344946,4.115283,1.273692,4.673714,3.324369,4.292505,5.182874,-2.266117,-2.0478,-0.602417,-1.789219,-1.374567,-2.697356,-0.005756,1.678285,-0.405597,-1.411288,1.244775,1.629458,2.579746,1.216845,0.436007,4.664103,-0.221047,-1.440197
63,4.678937,1.168137,0.09587,-1.880172,-1.145628,1.493397,-1.57014,-0.266671,-0.078406,-0.99531,-0.138682,-0.6714,-2.329066,0.12858,3.406339,2.824949,-0.655405,-2.888332,0.610154,0.651719,-1.902045,-2.141754,-3.577511,-1.338531,-1.07088,-4.237744,-1.855738,2.548449
64,-2.541711,3.729924,1.13011,3.37527,2.25543,-2.997027,1.651183,2.916954,0.532329,-0.994668,2.174505,2.742122,4.042087,1.963738,-3.775586,-0.374648,2.639152,1.711351,0.920364,0.631868,3.359438,0.99554,3.283636,-0.179814,2.836962,1.541321,1.067739,-2.768866
65,3.249771,0.351741,0.492657,0.037363,-2.683246,2.999287,1.961313,-0.748723,-0.657187,-1.842423,1.72982,-0.816879,-1.374,1.848652,3.594205,1.675408,-2.739673,-4.525067,0.950377,-0.428724,-1.523394,-0.794412,-4.787908,-0.898552,0.687891,-7.379479,-1.872593,3.704385
66,0.97604,2.295464,-0.603994,0.258208,2.094067,-2.003121,-1.790245,2.67963,1.616634,0.254034,1.388191,0.674105,1.252575,-0.295413,-1.890491,0.743904,2.776741,1.115813,0.453085,0.750482,1.309964,0.163769,1.624396,-0.546811,-0.037433,3.13057,-0.366317,-1.484759
67,5.121282,6.019854,5.760389,6.517913,4.38049,-1.243049,3.448655,6.28632,6.596857,4.567415,-0.771004,2.167379,0.62857,0.516285,-0.68136,2.752864,1.568849,-0.031189,-0.496013,1.690096,4.501879,-0.169449,1.179362,-1.857707,0.603502,0.6087,-2.343859,-0.906328
68,2.052555,3.948251,4.104573,7.407695,1.131526,5.326415,8.199374,2.712826,2.775411,3.298882,1.56815,-0.914405,0.939501,1.669635,0.581044,-2.052276,-3.126324,-2.144368,1.278395,-2.009136,-0.552394,1.235029,-2.028249,0.861672,2.076296,-3.630497,-0.44482,0.85357
69,6.968677,4.696549,3.429633,0.176492,3.233317,8.53154,4.451668,2.52058,2.720848,1.992462,1.549119,2.298214,-1.056257,1.920947,4.046324,2.334003,-0.576061,-0.992458,-0.860474,0.336277,-2.587461,-2.449466,-4.832138,-2.215944,-1.352914,-5.827065,0.546094,2.774264
70,6.722161,2.886292,2.255138,0.748559,3.051549,6.590979,0.840125,2.288754,4.158484,5.683835,-0.886631,-2.460006,-1.904592,-1.736137,1.262383,0.291373,-0.152442,0.260885,-0.248197,-0.157981,-3.428514,-0.781602,-0.783642,0.297506,-1.644967,1.545946,0.648259,0.776446
71,4.573587,1.158919,2.411015,1.718337,3.013771,5.80323,3.246928,2.530633,2.107198,4.034796,-0.367354,-2.638664,-1.240297,-1.442456,1.424849,-1.381339,-2.096149,-0.523254,0.335728,-0.959959,-3.11594,0.263201,-1.461648,1.359693,-1.007289,0.230324,0.655856,0.855951
72,3.878292,5.820544,2.371157,4.920187,5.200656,3.460882,3.350598,4.981073,4.601448,4.070138,1.369825,0.592734,1.78024,1.256697,-1.347655,-0.443206,1.096939,0.420083,1.109401,1.273302,0.617884,0.851129,1.336385,0.709213,1.102356,0.334068,1.280925,-1.381316
73,-1.564919,-1.162388,-2.231353,-2.527097,1.082595,0.936375,-2.205499,-0.45234,-0.710321,0.241549,-0.358332,-1.060633,-0.04601,-0.987488,-1.269252,-2.016512,1.587633,2.810689,0.246394,-0.515152,-1.738167,1.238949,1.916286,1.722844,-1.250984,3.789642,2.123444,-1.347393
74,2.49656,2.831979,0.051214,-0.320924,0.846216,-1.485282,-2.709484,1.938706,2.520964,0.055225,-0.391833,0.46775,-0.033452,-1.206677,-0.328016,1.811,1.589368,-0.429453,-0.060785,0.869676,0.836987,-1.445544,0.347928,-1.252186,-0.058092,1.229169,-0.99321,-0.150832
75,-3.499468,-3.837841,-1.326883,0.882453,-1.20773,1.535548,2.246896,-1.684387,-2.508396,0.717415,-1.533683,-3.073138,-0.667247,-0.453256,-0.686992,-3.668876,-2.574948,1.327747,0.475704,-2.075641,-1.683828,1.920538,0.746439,3.197587,0.133629,0.806964,0.803002,0.302999
76,1.477372,1.125482,5.173684,5.610368,4.18042,1.805067,5.097972,3.540502,4.07343,5.578324,-2.928848,0.396989,-0.45708,-0.724153,0.559499,-1.394077,-0.231588,1.13054,-1.345113,-0.782561,1.822752,0.639658,1.832737,0.587694,1.003539,3.713871,0.100749,-0.568271
77,5.662241,2.810879,3.482748,5.29283,2.661375,3.717179,3.317303,3.539174,3.898147,4.497643,-1.291288,-3.643061,-1.390175,-2.082031,0.036987,0.004031,-1.372195,-0.822562,-0.089805,-0.697928,-0.82202,0.742549,0.082518,0.799653,-0.040459,0.898402,-1.747928,1.022935
78,5.647071,2.598888,5.667548,6.427934,3.649557,-1.827399,3.08857,5.580866,6.489199,5.936785,-3.011186,-1.349564,-1.594885,-2.181232,0.016111,1.036905,-0.101951,-1.055733,-0.560403,0.519452,1.571955,-0.784097,1.750184,-1.294775,-0.693437,3.86774,-3.654009,-0.148036
79,6.662224,5.674527,2.972626,1.915681,4.83236,3.52809,1.4007,6.370533,4.796713,2.952011,1.089686,-0.263211,0.48372,-1.024098,-1.92619,1.244689,2.594856,0.830745,0.397286,0.964407,-0.32414,-1.186513,1.066368,-1.270419,-0.433807,1.195563,0.204615,-0.813822
80,-0.116608,-1.38356,-1.445703,-2.55605,-0.422088,3.663585,0.123872,-1.684592,-1.691572,-0.46628,0.815671,-1.009167,-0.360679,-0.282527,0.281808,-1.181008,-0.01093,0.977416,0.298722,-0.893878,-2.724583,0.863386,-1.388516,1.286266,-0.56226,-0.88087,1.337699,-0.052284
81,2.903531,3.28147,5.344604,4.556329,8.24535,0.713984,1.52278,5.563997,5.669396,5.887601,-3.066041,1.484216,-0.742422,-1.071984,-1.352561,0.151263,2.48859,1.491603,-1.382481,0.307474,1.541045,-0.088927,3.160441,-1.09457,-0.435883,4.472134,0.454704,-1.972027
82,0.104004,-0.337121,1.502194,-1.179593,1.564612,-1.368911,-0.866508,0.606087,0.605102,1.378367,-1.3172,1.7655,-0.578502,0.169818,-0.038338,1.113666,2.276465,1.457678,-1.748665,0.312377,0.944111,-0.57672,1.11481,-1.264704,-0.571844,2.192078,0.16642,-0.500197
83,-4.677677,-5.392264,-0.147837,-1.919362,-0.36849,1.587571,0.552237,-3.679813,-2.488173,1.657838,-1.746967,-0.213285,-1.443414,-0.120092,1.869377,-3.132844,-1.209806,2.139267,-1.895576,-1.886488,-2.083164,1.363626,-0.452217,1.472776,-0.61374,2.077812,2.32096,-0.072216
84,0.991834,3.63897,-0.192536,-0.70742,2.185826,-2.127667,-2.049148,2.72794,2.106722,0.527695,0.476607,2.499471,2.264967,0.533832,-2.17124,1.834451,3.16823,1.154347,-0.340049,1.736618,2.308096,-1.592548,2.133526,-1.846231,-0.104952,1.933571,0.712356,-1.58363
85,2.05356,2.30192,4.042576,4.464602,5.407227,2.933693,3.91265,4.301351,3.99808,5.272148,-1.713527,0.351751,0.727917,-0.050355,-0.772066,-0.595014,0.495806,1.097085,-0.604274,-0.330458,1.969227,1.005769,2.166735,0.018389,0.05533,2.738097,0.368213,-0.690462
86,3.134825,-1.143479,-0.757822,-1.570129,-2.500308,1.938169,-0.841316,-1.744782,-0.05433,-0.018149,0.068454,-3.118106,-2.395513,-0.637851,2.422041,0.35211,-2.299033,-1.655505,0.126116,-0.350147,-3.786732,-1.148755,-3.04614,-0.032207,-1.446687,-2.221742,-2.367206,2.214553
87,5.552202,3.769003,5.176547,5.757933,1.216219,3.663254,5.2712,4.216984,4.512498,2.969783,-0.938116,-1.781433,-1.470887,0.660981,1.391367,0.841362,-1.78943,-2.983499,0.386384,0.048417,-0.452442,-0.692328,-1.300281,-1.123743,0.931571,-2.570248,-2.858239,2.140828
88,0.064451,-1.701652,-1.46448,-1.69418,-0.434066,3.944983,1.214853,-1.526644,-1.57485,-1.170869,0.883771,-1.036141,-0.408079,0.146457,1.531204,-1.587059,-2.122924,-0.115379,0.31491,-1.167724,-2.985608,0.278541,-2.208767,1.379483,-0.445248,-1.822835,1.364544,1.670436
